,Will_vote_only_large_partyInt,Yearly_ExpensesK,Yearly_IncomeK,Avg_monthly_expense_on_pets_or_plants,Avg_monthly_household_cost,Phone_minutes_10_years,Avg_size_per_room,Weighted_education_rank,Last_school_grades,Political_interest_Total_Score,Overall_happiness_score,Most_Important_IssueInt,Looking_at_poles_resultsInt,MarriedInt,Financial_agenda_mattersInt,Vote
9000,1.0,-0.104839959344,-0.0543389423181,-0.114440512078,-0.203652873427,0.200444011253,0.0941408078639,-0.328656786308,1.0,-0.131379246967,0.289628781515,0.0,0,1.0,0.0,Greys
9001,1.0,-0.232377553858,-0.255615397752,-0.256559783349,-0.451792973026,0.14746992905,-0.107540497144,-0.512947420866,1.0,-0.392566993084,0.0157304439066,0.0,0,1.0,0.0,Yellows
9002,1.0,-0.233424741892,0.134049839465,-0.208112116183,-0.0235533825738,0.147068550139,0.272715516783,-0.136117597692,0.7,0.0962159330357,0.57086879477,0.7,0,1.0,0.0,Reds
9003,1.0,-0.0439231678983,0.194750984472,-0.219712327146,0.0779575328221,0.228609506631,0.328401991126,-0.0698095497131,1.0,0.176524744918,0.616733848969,0.0,0,1.0,0.0,Yellows
9004,1.0,0.0473197764964,-0.370423419783,-0.0154061222285,-0.329420368318,0.274259083423,-0.22843321324,-0.607561093566,0.9,-0.191927902867,0.62866802082,1.0,0,0.0,0.0,Yellows
9005,1.0,-0.191929901182,-0.0375873680677,-0.191937559993,-0.258995989722,0.163391772162,0.110394358925,-0.31246686662,0.7,-0.211425109013,0.0871836169578,0.7,0,1.0,0.0,Yellows
9006,1.0,-0.265720072701,-0.313307684308,-0.294357503448,-0.542647123385,0.134958555224,-0.167714050578,-0.561699088126,0.6,-0.502225943051,-0.149602546713,0.2,0,1.0,0.0,Yellows
9007,1.0,-0.129889194713,-0.0821740883965,-0.140870655231,-0.231481413757,0.189399286865,0.0669616136365,-0.355459435551,0.7,-0.154197292478,0.286604826712,0.7,0,1.0,0.0,Greys
9009,1.0,-0.192113300433,-0.114838556752,-0.201899788091,-0.316574383245,0.163317737107,0.0347875672552,-0.386468732952,0.9,-0.261333852738,0.0933318547383,1.0,0,1.0,0.0,Yellows
9010,1.0,0.981147810759,-0.424314386516,0.831502410755,-0.162798794465,0.980191711628,-0.286832015849,-0.649156360311,0.5,-0.145445220818,0.583126734144,0.5,0,0.0,1.0,Pinks
9011,1.0,-0.162696955459,-0.0730769534709,-0.169711352659,-0.280196445763,0.175407060092,0.0758681752048,-0.346857252632,1.0,-0.233928798886,0.0831880702223,0.0,0,1.0,0.0,Yellows
9012,1.0,-0.12337275066,-0.144823149501,-0.142856249543,-0.245544477844,0.192242402494,0.00498055156628,-0.414129087612,0.8,-0.140632119298,0.423313079617,0.4,0,1.0,0.0,Oranges
9013,1.0,0.0375201404729,-0.387412930359,-0.026519397568,-0.294700475681,0.269157201015,-0.246724755842,-0.620924267462,0.5,-0.118742818877,0.840568201844,0.6,0,0.0,1.0,Pinks
9014,1.0,-0.181516778887,-0.049577634106,-0.183937712644,-0.292656769176,0.16762288562,0.0987683827366,-0.324211053085,0.9,-0.264652759399,-0.0270305293846,1.0,0,1.0,0.0,Yellows
9015,1.0,-0.129729491213,-0.220330416767,-0.158241273164,-0.330253681748,0.189468712099,-0.0712842373692,-0.482097149703,0.8,-0.23638844956,0.314926273484,0.4,0,1.0,0.0,Oranges
9016,1.0,0.0479428020532,-0.140970322397,0.014255471201,-0.209233095816,0.274585062196,0.00882542655395,-0.410493527862,0.8,-0.130934457063,0.394834481401,0.4,0,0.0,0.0,Yellows
9017,1.0,-0.184582085884,-0.191747340305,-0.204765608351,-0.396781945569,0.166371757098,-0.0422067920552,-0.456923546859,0.8,-0.352547259562,-0.00521129073221,0.4,0,1.0,0.0,Yellows
9018,1.0,-0.109856726276,-0.0925326715543,-0.123869555418,-0.306343014345,0.198206951501,0.056791574317,-0.365437276434,1.0,-0.281969125637,-0.0170930247295,0.0,0,1.0,0.0,Blues
9019,1.0,-0.0832281731874,-0.0853874660159,-0.0986187848651,-0.233020491031,0.210224590414,0.0638099783007,-0.358515765982,0.7,-0.168472246816,0.244195379525,0.7,0,1.0,0.0,Greys
9020,1.0,0.180115724109,0.0332039110429,0.157176287721,-0.116494127662,0.348117828669,0.178251412359,-0.241554428815,0.6,-0.120620494538,0.0930799523263,0.2,0,0.0,0.0,Blues
9021,1.0,0.847558173459,0.617130697076,0.841412852559,0.4767258078,0.852542639631,0.69465020654,0.447056432096,0.5,0.332666112967,0.0556812293048,0.6,0,0.0,1.0,Greens
9022,1.0,0.202513772683,0.105255816576,0.118227800704,-0.0390037344978,0.361442133121,0.245997660523,-0.166725249372,0.6,-0.0397643787659,0.166136696308,0.2,0,0.0,0.0,Reds
9023,1.0,-0.329753936975,-0.297524144298,-0.350898539484,-0.516611618977,0.112485702851,-0.151138767002,-0.548552164495,1.0,-0.448776551432,-0.0268020402628,0.0,0,1.0,0.0,Yellows
9024,1.0,-0.312256815004,0.132014555721,-0.280441461218,-0.0665742557966,0.11842329141,0.270833482693,-0.138388233734,0.8,0.0467713255545,0.473280229853,0.4,0,1.0,0.0,Reds
9025,1.0,-0.193324796626,-0.126810223311,-0.204525253115,-0.258129874039,0.162829098839,0.022918506329,-0.397521585023,0.9,-0.153127507132,0.381044825174,1.0,0,1.0,0.0,Oranges
9026,1.0,-0.182848834626,0.024479548272,-0.175765934494,-0.234266912983,0.16707862107,0.169959589152,-0.250671127532,0.8,-0.210888703573,-0.0178968068421,0.4,0,1.0,0.0,Yellows
9027,1.0,0.656308159519,0.38378857332,0.636979696069,0.411934506835,0.68529109381,0.496645046874,0.149715952698,0.5,0.425012046194,0.726036012954,0.6,0,0.0,1.0,Pinks
9028,1.0,-0.205942035459,-0.116820055399,-0.214793777371,-0.354573391452,0.157783645096,0.0328259379608,-0.388391828193,0.7,-0.321232861349,-0.047623295075,0.7,0,1.0,0.0,Yellows
